Category,Item,Serving Size,Calories,Fat,Carbs,Protein
Breakfast,Egg McMuffin,4.8 oz (136 g),300,13,31,17
Breakfast,Egg White Delight,4.8 oz (135 g),250,8,30,18
Breakfast,Sausage McMuffin,3.9 oz (111 g),370,23,29,14
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450,28,30,21
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,23,30,21
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,23,31,26
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,26,38,19
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,30,43,19
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,20,36,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,25,42,20
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,27,34,11
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,31,39,11
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,33,36,18
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,37,42,18
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,27,34,18
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,32,40,18
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,20,41,17
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,24,46,17
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,32,38,25
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,21,48,19
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,15,47,20
Breakfast,Sausage McGriddles,5 oz (141 g),420,22,44,11
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,31,48,20
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,26,46,21
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,31,57,30
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,25,55,30
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,35,56,33
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,48,51,28
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800,52,56,28
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,37,50,26
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,41,55,26
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090,56,111,36
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150,60,116,36
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,46,110,35
